,FinalID,c_B0,c_B1,c_B2,c_B3,c_bic,c_aic,c_aicc,c_RSq,c_RSq_adj,b_B0,b_T0,b_Tm,b_bic,b_aic,b_aicc,b_RSq,b_RSq_adj,s_B0,s_E,s_El,s_Eh,s_Tl,s_Th,s_bic,s_aic,s_aicc,s_RSq,s_RSq_adj,sh_B0,sh_E,sh_Eh,sh_Th,sh_bic,sh_aic,sh_aicc,sh_RSq,sh_RSq_adj,sl_B0,sl_E,sl_El,sl_Tl,sl_bic,sl_aic,sl_aicc,sl_RSq,sl_RSq_adj
10,MTD2170,3.8760364847685453,-0.5980664231324728,0.0308461478965428,-0.0004260862690560919,-32.022584286996924,-33.61416537819041,-26.94749871152374,0.9603169086189673,0.9338615143649456,0.00042611786551144393,8.803377738426324,47.27185326894861,-22.01199691269602,-23.205682731091134,-19.777111302519707,0.8773948457052763,0.8248497795789661,0.288876546584918,0.784482236119844,2.3683206249072386,3.1971506600829684,310.1499999998855,383.9119670515923,-15.723854243478904,-18.111225880269128,2.888774119730872,0.887083686064404,0.71770921516101,0.28879816368252376,0.7845635732063024,2.3685124923042675,310.14999999980535,-20.519645579586374,-22.111226670779857,-15.444560004113189,0.8870836941790908,0.8118061569651513,0.5861811902086322,0.42489816012827153,4.997793053331509,314.9749727058089,-47.38658589558321,-48.97816698677669,-42.31150032011003,0.9901821930929606,0.9836369884882677
11,MTD2200,4.148577581109073,-1.0258883673723125,0.07935700585599564,-0.001573668941995118,-19.75464794475723,-20.072414111476576,-6.739080778143242,0.9791370616367416,0.9513198104857304,0.001925752929381852,9.013306593035367,33.70007328858191,-14.084262495630206,-14.322587120669713,-8.322587120669713,0.945034667152893,0.9038106675175627,0.30226461092174584,2.2415356679776046,2.475079017790553,5.999999999355938,292.2486282236954,298.9209721471568,-18.317061474423873,-18.793710724502887,65.20628927549711,0.9851527862088668,0.8960695034620677,0.40381875337501594,1.578667194368468,2.9999999999915516,296.5477619265433,-14.959742115227877,-15.27750828194722,-1.9441749486138864,0.9620094467752424,0.9113553758088988,0.4739401964433637,1.3383501694011248,3.1669476933019314,298.15,-14.281851258290997,-14.59961742501034,-1.2662840916770062,0.9586499394172696,0.9035165253069625
12,MTD2201,5.597151729169035,-1.2405410940376507,0.08542960599270866,-0.0015556127383195924,-14.79807002951886,-15.586968338863738,-5.586968338863738,0.9650796028151489,0.9301592056302979,0.001803049441822635,9.82677219858719,35.54645407134439,-8.281197091058399,-8.872870823067057,-4.072870823067057,0.9080445553594216,0.8528712885750747,0.4263097985698533,1.716878304855859,1.6743941917408187,5.999999999956301,293.21575619080346,301.4091838698514,-4.476293820655524,-5.6596412846728406,36.340358715327156,0.932531353076089,0.7301254123043561,0.5346448610826976,1.0835683581196305,2.999999999999228,300.88666709486006,-2.4859306795513785,-3.2748289888962567,6.725171011103743,0.8628484404599296,0.7256968809198592,0.6399293444751303,0.8130799996566939,5.146941302418523,303.79405730450856,-5.592970063757079,-6.381868373101957,3.618131626898043,0.9028884818168379,0.8057769636336758
13,MTD2203,-0.6071908053158568,-0.12025114883685194,0.03241731354419213,-0.0008070222156018286,-14.674226801836847,-14.99199296855619,-1.6586596352228558,0.9660027415692238,0.9206730636615222,0.0017243201131183494,6.865867195468418,35.32566558647024,-16.695910927686132,-16.93423555272564,-10.934235552725639,0.9657564041771377,0.940073707309991,0.8793166649883033,1.5707235180843484,1.9707623028137013,5.999999999958042,292.49705893115834,301.4840795135022,-5.899489261373841,-6.376138511452854,77.62386148854715,0.9394625795231979,0.5762380566623853,0.92698117296035,1.0866196875954945,2.638141823352469,298.14999999803547,-3.93788678948089,-4.255652956200233,9.0776803771331,0.8698975276864948,0.6964275646018211,1.0564106061813465,0.9071652279529993,2.753968030216303,299.67342908211396,-4.134515567980156,-4.452281734699499,8.881051598633835,0.8730562860207665,0.7037980007151217
14,MTD2204,4.288755096234776,-1.021613018843833,0.07813162337292912,-0.0014718492568072327,-16.76112327276369,-17.07888943948303,-3.7455561061496976,0.981402813620261,0.9566065651139425,0.0021647916890944474,10.017838090884386,36.33431523449419,-15.76276010046077,-16.001084725500277,-10.001084725500277,0.9726768073644974,0.9521844128878704,0.5782260396404787,1.898031170130275,1.8742928897927147,5.999999993837685,291.5438214802596,301.1500002233344,-14.026278839650345,-14.502928089729359,69.49707191027065,0.9844353009588821,0.8910471067121747,0.7317584177304243,1.04845689025388,2.950734661476631,301.14999998200005,-7.027361101771369,-7.345127268490712,5.988206064842622,0.9372140971668095,0.8534995600558888,0.9054865030790415,0.8307496966197648,3.562795244850795,303.1264290293563,-8.41883942153328,-8.736605588252623,4.596727745080711,0.9472377601361388,0.8768881069843238
15,MTD2205,3.548994574289916,-0.8676310108188304,0.06759576853891996,-0.0012734675084826836,-28.01956374222614,-28.80846205157102,-18.80846205157102,0.9927098718699136,0.9854197437398271,0.0017174577727939178,8.833455742697417,37.006430500750426,-18.07651042282616,-18.66818415483482,-13.868184154834818,0.9719092346160927,0.9550547753857483,0.47830577922002626,2.031537132398678,2.0283785685874136,5.9999998982860046,291.2938397247844,301.1500005489036,-24.150109909312818,-25.333457373330134,16.666542626669866,0.9931229601261269,0.9724918405045075,0.6572783773821034,1.0610482998311181,2.793698422937509,301.1499984333304,-12.398489814868809,-13.187388124213687,-3.187388124213687,0.9586448872429003,0.9172897744858006,0.6948536866767635,0.9948142583258597,2.9167205946091666,301.81398058146334,-12.514226982942668,-13.303125292287547,-3.3031252922875467,0.9591732984349429,0.9183465968698858
16,MTD2207,-7.229056475941351,0.7780064478099584,-0.009377091228332177,-0.00017015833539982812,-12.374866181737952,-13.16376449108283,-3.16376449108283,0.9498498257647033,0.8996996515294067,0.0015019176106672028,8.827424511058716,36.84436949704168,-9.747866673173117,-10.339540405181776,-5.539540405181776,0.9142833673143641,0.8628533877029826,0.21484591580836154,2.688709175015992,2.9923305222645684,5.999999991187966,291.9161291275872,299.02579469052705,-13.742012367669837,-14.925359831687153,27.074640168312847,0.9735608800768616,0.8942435203074464,0.3995518913698104,1.6596224067487635,2.9999999978530227,296.6339212201283,-10.53027633594965,-11.319174645294527,-1.3191746452945274,0.9384422095319445,0.8768844190638889,0.5117801729013827,1.3720950039869186,2.959628040240422,298.150000009946,-9.89264840419546,-10.681546713540339,-0.6815467135403388,0.9339227862206672,0.8678455724413343
17,MTD2208,-1.300833186614386,-0.22383892179245365,0.04934544424310191,-0.001179976865947729,-5.91158049112641,-6.229346657845753,7.103986675487581,0.9505435498892869,0.8846016164083361,0.0025962074773376864,8.968651262320538,35.5780041849685,-7.902542619385597,-8.140867244425104,-2.1408672444251042,0.9499935291896718,0.9124886760819257,0.8832779137088925,1.5030043916765838,1.7655946481034897,5.377435785532734,294.7890115895499,301.1500023474466,-6.934951378143616,-7.411600628222629,76.58839937177737,0.9741241295394243,0.81886890677597,1.0505723525104678,1.0299833275920487,2.9999999999831735,300.198125216316,-6.621009240541657,-6.938775407261,6.394557926072334,0.9547404411605902,0.8943943627080438,1.103873891859826,0.9331755521644275,3.468361476295603,301.310348425356,-8.23878634054646,-8.556552507265803,4.776780826067531,0.9630268580650425,0.9137293354850992
18,MTD2209,-6.23971027433676,0.6957943806609828,-0.0047159986894811145,-0.00024419888969276396,-2.8536037847788567,-3.1713699514981997,10.161963381835134,0.8644751643492696,0.6837753834816291,0.0016216294043039925,7.2181893611928665,37.1364148455213,-3.6456390775495713,-3.883963702589078,2.116036297410922,0.8408128277932404,0.7214224486381707,0.679145409256936,1.3904725097424553,2.5670255328232607,5.998170221723431,297.19700246360475,377.72691559119636,-7.174169734741586,-7.650818984820599,76.3491810151794,0.9530433994158705,0.6713037959110932,0.6791423214709613,1.390477910359954,2.5670271101978988,297.19697034870666,-11.333052815255817,-11.65081898197516,1.682514351358174,0.9530433993991689,0.8904345985980608,0.7563631513048874,1.2542845174847743,2.5756831334962698,298.1500000000048,-10.928139121400042,-11.245905288119385,2.087428045213949,0.9506055536711134,0.8847462918992647
19,MTD2210,0.9359798873553161,-0.5497205220206927,0.06278352032729816,-0.0013591306187468704,-7.713256906606803,-8.031023073326146,5.302310260007188,0.9578858054510218,0.9017335460523841,0.002548272141102148,9.173538130812695,35.31265283829728,-9.735204730612733,-9.97352935565224,-3.9735293556522393,0.957582052564734,0.9257685919882845,0.7347081629227842,2.310128613186818,2.007535015275087,5.924943361799313,288.5638802480597,298.15000001929553,-10.856926518869326,-11.33357576894834,72.66642423105166,0.9830957383364217,0.881670168354952,0.6999661416123554,1.3711496770201723,2.9999999291833346,298.14999998275823,-4.907367497788101,-5.225133664507444,8.10819966882589,0.9401931009735611,0.8604505689383093,1.0117333243117725,0.9485585847946946,3.6228628400857197,301.2456525711534,-10.212875520626719,-10.530641687346062,2.802691645987272,0.9691871281531369,0.9281032990239861
